Time,Channel A
(s),(mV)
,
0.54300003,50.70345
0.54350003,56.11133
0.54400003,30.86642
0.54450003,25.45854
0.54500003,41.68828
0.54550003,52.50404
0.54600003,57.91192
0.54650003,23.65795
0.54700003,23.65795
0.54750003,38.08099
0.54800003,59.71251
0.54850003,59.71251
0.54900003,29.06583
0.54950003,30.86642
0.55000003,47.09616
0.55050003,61.51921
0.55100003,45.28947
0.55150003,23.65795
0.55200003,30.86642
0.55250003,57.91192
0.55300003,65.1265
0.55350003,30.86642
0.55400003,25.45854
0.55450003,43.48888
0.55500003,57.91192
0.55550003,59.71251
0.55600003,23.65795
0.55650003,30.86642
0.55700003,47.09616
0.55750003,57.91192
0.55800003,57.91192
0.55850003,21.85736
0.55900003,32.67311
0.55950003,54.30463
0.56000003,61.51921
0.56050003,30.86642
0.56100003,25.45854
0.56150003,41.68828
0.56200003,56.11133
0.56250003,63.31981
0.56300003,29.06583
0.56350003,27.26524
0.56400003,45.28947
0.56450003,57.91192
0.56500003,48.89676
0.56550003,25.45854
0.56600003,41.68828
0.56650003,54.30463
0.56700003,63.31981
0.56750003,52.50404
0.56800003,27.26524
0.56850003,29.06583
0.56900003,56.11133
0.56950003,63.31981
0.57000003,38.08099
0.57050003,25.45854
0.57100003,32.67311
0.57150003,57.91192
0.57200003,65.1265
0.57250003,30.86642
0.57300003,27.26524
0.57350003,48.89676
0.57400003,56.11133
0.57450003,61.51921
0.57500003,25.45854
0.57550003,30.86642
0.57600003,52.50404
0.57650003,57.91192
0.57700003,43.48888
0.57750003,23.65795
0.57800003,34.47371
0.57850003,54.30463
0.57900003,57.91192
0.57950003,36.2804
0.58000003,27.26524
0.58050003,36.2804
0.58100003,56.11133
0.58150003,61.51921
0.58200003,27.26524
0.58250003,25.45854
0.58300003,50.70345
0.58350003,56.11133
0.58400003,56.11133
0.58450003,34.47371
0.58500003,30.86642
0.58550003,50.70345
0.58600003,63.31981
0.58650003,52.50404
0.58700003,23.65795
0.58750003,39.88159
0.58800003,56.11133
0.58850003,63.31981
0.58900003,30.86642
0.58950003,30.86642
0.59000003,50.70345
0.59050003,56.11133
0.59100003,57.91192
0.59150003,23.65795
0.59200003,29.06583
0.59250003,48.89676
0.59300003,57.91192
0.59350003,41.68828
0.59400003,23.65795
0.59450003,38.08099
0.59500003,52.50404
0.59550003,59.71251
0.59600003,34.47371
0.59650003,27.26524
0.59700003,36.2804
0.59750003,56.11133
0.59800003,59.71251
0.59850003,27.26524
0.59900003,27.26524
0.59950003,48.89676
0.60000003,57.91192
0.60050003,63.31981
0.60100003,23.65795
0.60150003,36.2804
0.60200003,52.50404
0.60250003,63.31981
0.60300003,34.47371
0.60350003,23.65795
0.60400003,38.08099
0.60450003,52.50404
0.60500003,59.71251
0.60550003,23.65795
0.60600003,27.26524
0.60650003,38.08099
0.60700003,56.11133
0.60750003,59.71251
0.60800003,23.65795
0.60850003,25.45854
0.60900003,50.70345
0.60950003,56.11133
0.61000003,54.30463
0.61050003,23.65795
0.61100003,29.06583
0.61150003,52.50404
0.61200003,63.31981
0.61250003,43.48888
0.61300003,25.45854
0.61350003,43.48888
0.61400003,59.71251
0.61450003,61.51921
0.61500003,34.47371
0.61550003,30.86642
0.61600003,50.70345
0.61650003,59.71251
0.61700003,59.71251
0.61750003,23.65795
0.61800003,27.26524
0.61850003,50.70345
0.61900003,57.91192
0.61950003,50.70345
0.62000003,23.65795
0.62050003,29.06583
0.62100003,54.30463
0.62150003,61.51921
0.62200003,38.08099
0.62250003,27.26524
0.62300003,38.08099
0.62350003,52.50404
0.62400003,59.71251
0.62450003,30.86642
0.62500003,23.65795
0.62550003,47.09616
0.62600003,57.91192
0.62650003,59.71251
0.62700003,27.26524
0.62750003,36.2804
0.62800003,54.30463
0.62850003,59.71251
0.62900003,48.89676
0.62950003,25.45854
0.63000003,43.48888
0.63050003,48.89676
0.63100003,63.31981
0.63150003,34.47371
0.63200003,25.45854
0.63250003,39.88159
0.63300003,57.91192
0.63350003,59.71251
0.63400003,34.47371
0.63450003,29.06583
0.63500003,43.48888
0.63550003,56.11133
0.63600003,61.51921
0.63650003,41.68828
0.63700003,29.06583
0.63750003,48.89676
0.63800003,56.11133
0.63850003,57.91192
0.63900003,32.67311
0.63950003,36.2804
0.64000003,52.50404
0.64050003,57.91192
0.64100003,39.88159
0.64150003,21.85736
0.64200003,34.47371
0.64250003,50.70345
0.64300003,52.50404
0.64350003,23.65795
0.64400003,21.85736
0.64450003,30.86642
0.64500003,43.48888
0.64550003,50.70345
0.64600003,32.67311
