Time,Channel A,Channel B
(s),(mV),(mV)

11.42800054,229.75860000,102.24920000
11.42850054,229.75860000,102.24920000
11.42900054,211.73740000,100.46080000
11.42950054,220.75560000,102.24920000
11.43000054,220.75560000,102.24920000
11.43050054,207.23590000,100.46080000
11.43100054,216.23890000,100.46080000
11.43150054,207.23590000,102.24920000
11.43200054,184.71330000,104.03760000
11.43250054,202.73440000,104.03760000
11.43300054,216.23890000,104.03760000
11.43350054,198.23300000,105.82600000
11.43400054,216.23890000,105.82600000
11.43450054,234.26010000,107.62050000
11.43500054,225.25710000,107.62050000
11.43550054,234.26010000,105.82600000
11.43600054,256.78270000,105.82600000
11.43650054,243.27830000,104.03760000
11.43700054,270.30240000,104.03760000
11.43750054,256.78270000,104.03760000
11.43800054,252.28120000,102.24920000
11.43850054,234.26010000,102.24920000
11.43900054,256.78270000,100.46080000
11.43950054,265.80090000,100.46080000
11.44000054,207.23590000,100.46080000
11.44050054,238.76160000,100.46080000
11.44100054,247.77980000,100.46080000
11.44150054,184.71330000,102.24920000
11.44200054,193.71620000,104.03760000
11.44250054,202.73440000,102.24920000
11.44300054,180.21180000,104.03760000
11.44350054,193.71620000,107.62050000
11.44400054,193.71620000,105.82600000
11.44450054,198.23300000,107.62050000
11.44500054,202.73440000,107.62050000
11.44550054,216.23890000,107.62050000
11.44600054,220.75560000,104.03760000
11.44650054,225.25710000,105.82600000
11.44700054,198.23300000,104.03760000
11.44750054,234.26010000,104.03760000
11.44800054,202.73440000,102.24920000
11.44850054,252.28120000,102.24920000
11.44900054,252.28120000,100.46080000
11.44950054,234.26010000,100.46080000
11.45000054,211.73740000,96.87796000
11.45050054,234.26010000,100.46080000
11.45100054,220.75560000,104.03760000
11.45150054,220.75560000,100.46080000
11.45200054,229.75860000,102.24920000
11.45250054,207.23590000,102.24920000
11.45300054,211.73740000,104.03760000
11.45350054,220.75560000,107.62050000
11.45400054,198.23300000,107.62050000
11.45450054,198.23300000,105.82600000
11.45500054,207.23590000,107.62050000
11.45550054,180.21180000,104.03760000
11.45600054,193.71620000,105.82600000
11.45650054,180.21180000,105.82600000
11.45700054,184.71330000,102.24920000
11.45750054,184.71330000,104.03760000
11.45800054,198.23300000,104.03760000
11.45850054,175.71030000,102.24920000
11.45900054,180.21180000,102.24920000
11.45950054,184.71330000,100.46080000
11.46000054,175.71030000,100.46080000
11.46050054,193.71620000,100.46080000
11.46100054,180.21180000,102.24920000
11.46150054,189.21480000,100.46080000
11.46200054,166.69210000,102.24920000
11.46250054,180.21180000,105.82600000
11.46300054,184.71330000,102.24920000
11.46350054,166.69210000,105.82600000
11.46400054,157.68910000,107.62050000
11.46450054,153.18770000,107.62050000
11.46500054,157.68910000,107.62050000
11.46550054,157.68910000,107.62050000
11.46600054,148.67090000,107.62050000
11.46650054,157.68910000,105.82600000
11.46700054,162.19060000,104.03760000
11.46750054,144.16940000,104.03760000
11.46800054,157.68910000,100.46080000
11.46850054,148.67090000,100.46080000
11.46900054,171.19360000,102.24920000
11.46950054,157.68910000,102.24920000
11.47000054,148.67090000,100.46080000
11.47050054,144.16940000,102.24920000
11.47100054,157.68910000,100.46080000
11.47150054,144.16940000,100.46080000
11.47200054,139.66800000,102.24920000
11.47250054,139.66800000,104.03760000
11.47300054,139.66800000,107.62050000
11.47350054,144.16940000,107.62050000
11.47400054,144.16940000,107.62050000
11.47450055,139.66800000,107.62050000
11.47500055,148.67090000,105.82600000
11.47550055,144.16940000,107.62050000
11.47600055,139.66800000,104.03760000
11.47650055,139.66800000,105.82600000
11.47700055,148.67090000,105.82600000
11.47750055,144.16940000,102.24920000
11.47800055,153.18770000,102.24920000
11.47850055,162.19060000,102.24920000
11.47900055,157.68910000,102.24920000
11.47950055,157.68910000,98.66634000
11.48000055,166.69210000,100.46080000
11.48050055,180.21180000,100.46080000
11.48100055,175.71030000,102.24920000
11.48150055,175.71030000,102.24920000
11.48200055,157.68910000,102.24920000
11.48250055,148.67090000,104.03760000
11.48300055,148.67090000,104.03760000
11.48350055,148.67090000,107.62050000
11.48400055,148.67090000,107.62050000
11.48450055,144.16940000,107.62050000
11.48500055,148.67090000,109.40890000
11.48550055,139.66800000,107.62050000
11.48600055,139.66800000,105.82600000
11.48650055,144.16940000,105.82600000
11.48700055,144.16940000,105.82600000
11.48750055,148.67090000,104.03760000
11.48800055,144.16940000,102.24920000
11.48850055,135.16650000,100.46080000
11.48900055,148.67090000,102.24920000
11.48950055,139.66800000,100.46080000
11.49000055,153.18770000,100.46080000
11.49050055,148.67090000,98.66634000
11.49100055,139.66800000,102.24920000
11.49150055,144.16940000,102.24920000
11.49200055,139.66800000,102.24920000
11.49250055,139.66800000,104.03760000
11.49300055,139.66800000,105.82600000
11.49350055,144.16940000,107.62050000
11.49400055,144.16940000,104.03760000
11.49450055,148.67090000,107.62050000
11.49500055,144.16940000,104.03760000
11.49550055,148.67090000,105.82600000
11.49600055,153.18770000,104.03760000
11.49650055,148.67090000,102.24920000
11.49700055,153.18770000,104.03760000
11.49750055,162.19060000,102.24920000
11.49800055,157.68910000,102.24920000
11.49850055,162.19060000,102.24920000
11.49900055,166.69210000,100.46080000
11.49950055,148.67090000,98.66634000
11.50000055,153.18770000,100.46080000
11.50050055,139.66800000,102.24920000
11.50100055,144.16940000,100.46080000
11.50150055,144.16940000,104.03760000
11.50200055,139.66800000,102.24920000
11.50250055,135.16650000,104.03760000
11.50300055,139.66800000,105.82600000
11.50350055,139.66800000,109.40890000
11.50400055,144.16940000,107.62050000
11.50450055,144.16940000,107.62050000
11.50500055,144.16940000,107.62050000
11.50550055,139.66800000,105.82600000
11.50600055,148.67090000,107.62050000
11.50650055,148.67090000,105.82600000
11.50700055,139.66800000,104.03760000
11.50750055,135.16650000,102.24920000
11.50800055,144.16940000,102.24920000
11.50850055,162.19060000,100.46080000
11.50900055,144.16940000,102.24920000
11.50950055,148.67090000,100.46080000
11.51000055,148.67090000,102.24920000
11.51050055,135.16650000,100.46080000
11.51100055,144.16940000,100.46080000
11.51150055,130.66500000,102.24920000
11.51200055,144.16940000,104.03760000
11.51250055,139.66800000,105.82600000
11.51300055,139.66800000,104.03760000
11.51350055,144.16940000,104.03760000
11.51400055,144.16940000,105.82600000
11.51450055,144.16940000,105.82600000
11.51500055,148.67090000,107.62050000
11.51550055,153.18770000,104.03760000
11.51600055,144.16940000,104.03760000
11.51650055,153.18770000,104.03760000
11.51700055,153.18770000,104.03760000
11.51750055,153.18770000,104.03760000
11.51800055,139.66800000,104.03760000
11.51850055,139.66800000,100.46080000
11.51900055,135.16650000,100.46080000
11.51950055,139.66800000,100.46080000
11.52000055,126.14820000,102.24920000
11.52050055,126.14820000,104.03760000
11.52100055,126.14820000,102.24920000
11.52150055,130.66500000,105.82600000
11.52200055,126.14820000,104.03760000
11.52250055,130.66500000,104.03760000
11.52300055,139.66800000,104.03760000
11.52350055,144.16940000,105.82600000
11.52400055,148.67090000,107.62050000
11.52450055,144.16940000,107.62050000
11.52500055,144.16940000,107.62050000
11.52550055,139.66800000,107.62050000
11.52600055,139.66800000,105.82600000
11.52650055,148.67090000,104.03760000
11.52700055,144.16940000,102.24920000
11.52750055,144.16940000,102.24920000
11.52800055,144.16940000,102.24920000
11.52850055,126.14820000,104.03760000
11.52900055,130.66500000,102.24920000
11.52950055,126.14820000,102.24920000
11.53000055,117.14530000,100.46080000
11.53050055,126.14820000,102.24920000
11.53100055,121.64680000,102.24920000
11.53150055,126.14820000,102.24920000
11.53200055,130.66500000,104.03760000
11.53250055,135.16650000,104.03760000
11.53300055,139.66800000,104.03760000
11.53350055,144.16940000,109.40890000
11.53400055,144.16940000,105.82600000
11.53450055,139.66800000,107.62050000
11.53500055,144.16940000,107.62050000
11.53550055,139.66800000,105.82600000
11.53600055,139.66800000,105.82600000
11.53650055,144.16940000,105.82600000
11.53700055,144.16940000,102.24920000
11.53750055,130.66500000,104.03760000
11.53800055,126.14820000,102.24920000
11.53850055,130.66500000,102.24920000
11.53900055,126.14820000,100.46080000
11.53950055,130.66500000,100.46080000
11.54000055,121.64680000,100.46080000
11.54050055,126.14820000,102.24920000
11.54100055,126.14820000,102.24920000
11.54150055,126.14820000,104.03760000
11.54200055,126.14820000,102.24920000
11.54250055,130.66500000,104.03760000
11.54300055,139.66800000,107.62050000
11.54350055,144.16940000,109.40890000
11.54400055,144.16940000,105.82600000
11.54450055,144.16940000,109.40890000
11.54500055,144.16940000,107.62050000
11.54550055,144.16940000,105.82600000
11.54600055,139.66800000,105.82600000
11.54650055,130.66500000,104.03760000
11.54700055,130.66500000,104.03760000
11.54750055,126.14820000,102.24920000
11.54800055,130.66500000,102.24920000
11.54850055,130.66500000,102.24920000
11.54900055,126.14820000,102.24920000
11.54950055,130.66500000,100.46080000
11.55000055,126.14820000,102.24920000
11.55050055,126.14820000,102.24920000
11.55100055,126.14820000,102.24920000
11.55150055,126.14820000,102.24920000
11.55200055,130.66500000,104.03760000
11.55250055,130.66500000,105.82600000
11.55300055,139.66800000,104.03760000
11.55350055,144.16940000,104.03760000
11.55400055,144.16940000,107.62050000
11.55450055,144.16940000,109.40890000
11.55500055,139.66800000,107.62050000
11.55550055,139.66800000,105.82600000
11.55600055,139.66800000,105.82600000
11.55650055,139.66800000,107.62050000
11.55700055,135.16650000,105.82600000
11.55750055,135.16650000,104.03760000
11.55800055,126.14820000,100.46080000
11.55850055,126.14820000,102.24920000
11.55900055,121.64680000,102.24920000
11.55950055,121.64680000,102.24920000
11.56000055,121.64680000,102.24920000
11.56050055,126.14820000,102.24920000
11.56100055,121.64680000,102.24920000
11.56150055,126.14820000,102.24920000
11.56200055,130.66500000,104.03760000
11.56250055,135.16650000,105.82600000
11.56300055,139.66800000,107.62050000
11.56350055,144.16940000,104.03760000
11.56400055,148.67090000,105.82600000
11.56450055,144.16940000,109.40890000
11.56500055,144.16940000,104.03760000
11.56550055,144.16940000,104.03760000
11.56600055,144.16940000,104.03760000
11.56650055,139.66800000,104.03760000
11.56700055,139.66800000,104.03760000
11.56750055,144.16940000,102.24920000
11.56800055,135.16650000,102.24920000
11.56850055,130.66500000,102.24920000
11.56900055,139.66800000,102.24920000
11.56950055,126.14820000,102.24920000
11.57000055,126.14820000,100.46080000
11.57050055,126.14820000,100.46080000
11.57100055,126.14820000,104.03760000
11.57150055,130.66500000,104.03760000
11.57200055,130.66500000,102.24920000
11.57250055,139.66800000,105.82600000
11.57300055,144.16940000,104.03760000
11.57350055,148.67090000,105.82600000
11.57400055,144.16940000,109.40890000
11.57450055,148.67090000,104.03760000
11.57500055,139.66800000,105.82600000
11.57550055,144.16940000,107.62050000
11.57600055,135.16650000,104.03760000
11.57650055,135.16650000,102.24920000
11.57700055,130.66500000,102.24920000
11.57750055,130.66500000,100.46080000
11.57800055,121.64680000,100.46080000
11.57850055,126.14820000,102.24920000
11.57900055,121.64680000,102.24920000
11.57950055,130.66500000,100.46080000
11.58000055,121.64680000,100.46080000
11.58050055,126.14820000,102.24920000
11.58100055,126.14820000,104.03760000
11.58150055,130.66500000,102.24920000
11.58200055,130.66500000,102.24920000
11.58250055,135.16650000,104.03760000
11.58300055,139.66800000,105.82600000
11.58350055,139.66800000,107.62050000
11.58400055,144.16940000,107.62050000
11.58450055,144.16940000,107.62050000
11.58500055,139.66800000,105.82600000
11.58550055,139.66800000,107.62050000
11.58600055,139.66800000,105.82600000
11.58650055,135.16650000,104.03760000
11.58700055,130.66500000,104.03760000
11.58750055,130.66500000,104.03760000
11.58800055,126.14820000,102.24920000
11.58850055,121.64680000,100.46080000
11.58900055,121.64680000,100.46080000
11.58950055,126.14820000,102.24920000
11.59000055,117.14530000,100.46080000
11.59050055,117.14530000,102.24920000
11.59100055,117.14530000,100.46080000
11.59150055,130.66500000,104.03760000
11.59200055,130.66500000,102.24920000
11.59250055,135.16650000,104.03760000
11.59300055,139.66800000,105.82600000
11.59350055,139.66800000,105.82600000
11.59400055,144.16940000,105.82600000
11.59450055,144.16940000,109.40890000
11.59500055,144.16940000,107.62050000
11.59550055,139.66800000,105.82600000
11.59600055,139.66800000,105.82600000
11.59650055,135.16650000,105.82600000
11.59700055,135.16650000,104.03760000
11.59750055,135.16650000,104.03760000
11.59800055,130.66500000,104.03760000
11.59850055,126.14820000,100.46080000
11.59900055,121.64680000,104.03760000
11.59950055,126.14820000,102.24920000
11.60000055,121.64680000,102.24920000
11.60050055,126.14820000,102.24920000
11.60100055,126.14820000,102.24920000
11.60150055,126.14820000,102.24920000
11.60200055,130.66500000,104.03760000
11.60250055,130.66500000,104.03760000
11.60300055,139.66800000,107.62050000
11.60350055,144.16940000,105.82600000
11.60400055,144.16940000,107.62050000
11.60450055,144.16940000,107.62050000
11.60500055,144.16940000,107.62050000
11.60550055,139.66800000,107.62050000
11.60600055,139.66800000,109.40890000
11.60650055,139.66800000,105.82600000
11.60700055,130.66500000,102.24920000
11.60750055,126.14820000,104.03760000
